"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"11","USGS-NC","USGS North Carolina Water Science Center","USGS-02085079","ENO RIVER NEAR WEAVER, NC","Stream",NA,"03020201",148,"sq mi",NA,NA,36.07208829,-78.8627848,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-NC","USGS North Carolina Water Science Center","USGS-02086720","ELLERBE CR AT HILLANDALE RD AT DURHAM, NC","Stream",NA,"03020201",2.86,"sq mi",NA,NA,36.0220875,-78.9361197,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-NC","USGS North Carolina Water Science Center","USGS-0208675009","ELLERBE CREEK AT WEST MURRAY AVENUE AT DURHAM, NC","Stream",NA,"03020201",5.05,"sq mi",NA,NA,36.0288111,-78.90226389,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-NC","USGS North Carolina Water Science Center","USGS-0208675010","ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC","Stream",NA,"03020201",6.01,"sq mi",NA,NA,36.01938889,-78.8947778,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",289.23,"feet",0.39,"feet","Differentially corrected Global Positioning System.","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","USGS-NC","USGS North Carolina Water Science Center","USGS-02086760","DYE CREEK AT GUESS ROAD AT DURHAM, NC","Stream",NA,"03020201",0.81,"sq mi",NA,NA,36.0193101,-78.9136193,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","USGS-NC","USGS North Carolina Water Science Center","USGS-02086770","ELLERBE CREEK AT SR1709 NR DURHAM, NC","Stream",NA,"03020201",9.94,"sq mi",NA,NA,36.02181076,-78.8705629,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","USGS-NC","USGS North Carolina Water Science Center","USGS-02086790","GOOSE CREEK AT EAST GEER ST, DURHAM, NC","Stream",NA,"03020201",1.48,"sq mi",NA,NA,36.00375518,-78.8802853,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","USGS-NC","USGS North Carolina Water Science Center","USGS-0208682450","ELLERBE CR BELOW SECONDARY RD 1669 NR WEAVER, NC","Stream",NA,"03020201",17.3,"sq mi",17.3,"sq mi",36.0298333,-78.8636944,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","USGS-NC","USGS North Carolina Water Science Center","USGS-02086833","ELLERBE CREEK 0.33 MI BELOW SR1669 NR WEAVER, NC","Stream",NA,"03020201",17.4,"sq mi",NA,NA,36.03205556,-78.8620556,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","USGS-NC","USGS North Carolina Water Science Center","USGS-02086834","ELLERBE CR 0.51 MILE BELOW SR1669 NEAR WEAVER, NC","Stream",NA,"03020201",17.4,"sq mi",NA,NA,36.03448056,-78.8607472,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",268,"feet",0.1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"21","USGS-NC","USGS North Carolina Water Science Center","USGS-02086835","ELLERBE CREEK 0.59 MI BELOW SR1669 NR WEAVER, NC","Stream",NA,"03020201",17.4,"sq mi",NA,NA,36.0357222,-78.8604167,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"22","USGS-NC","USGS North Carolina Water Science Center","USGS-02086837","ELLERBE CREEK 0.71 MI BELOW SR1669 NR WEAVER, NC","Stream",NA,"03020201",18,"sq mi",NA,NA,36.03725,-78.85963889,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"23","USGS-NC","USGS North Carolina Water Science Center","USGS-02086839","ELLERBE CREEK 0.89 MI BELOW SR1669 NR WEAVER, NC","Stream",NA,"03020201",18,"sq mi",NA,NA,36.0396111,-78.8581667,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"24","USGS-NC","USGS North Carolina Water Science Center","USGS-02086841","ELLERBE CREEK AT WEAVER, NC","Stream",NA,"03020201",19.5,"sq mi",NA,NA,36.04319444,-78.8562778,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"25","USGS-NC","USGS North Carolina Water Science Center","USGS-02086843","ELLERBE CREEK 1.28 MI BELOW SR1669 NR WEAVER, NC","Stream",NA,"03020201",19.5,"sq mi",NA,NA,36.04469444,-78.8553611,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"26","USGS-NC","USGS North Carolina Water Science Center","USGS-02086845","ELLERBE CREEK 1.39 MI BELOW SR 1669 NR WEAVER, NC","Stream",NA,"03020201",19.5,"sq mi",NA,NA,36.04625,-78.8545,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"27","USGS-NC","USGS North Carolina Water Science Center","USGS-02086849","ELLERBE CREEK NEAR GORMAN, NC","Stream",NA,"03020201",21.9,"sq mi",NA,NA,36.05931106,-78.8325065,NA,1,"seconds","Interpolated from MAP.","NAD83",252.31,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"28","USGS-NC","USGS North Carolina Water Science Center","USGS-0208700550","LITTLE LICK CREEK AT NC HWY 98 AT OAK GROVE, NC","Stream",NA,"03020201",4.05,"sq mi",NA,NA,35.9823333,-78.8245,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",278.52,"feet",0.08,"feet","Differentially corrected Global Positioning System.","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"29","USGS-NC","USGS North Carolina Water Science Center","USGS-0208700712","LITTLE LICK CR AT SR1815 AT OAK GROVE, NC","Stream",NA,"03020201",5.99,"sq mi",NA,NA,35.98416667,-78.8197222,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"30","USGS-NC","USGS North Carolina Water Science Center","USGS-0208700780","LITTLE LICK CR AB SR1814 NR OAK GROVE, NC","Stream",NA,"03020201",10.1,"sq mi",NA,NA,35.9865346,-78.7991726,NA,1,"seconds","Interpolated from MAP.","NAD83",265,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"31","USGS-NC","USGS North Carolina Water Science Center","USGS-0209722970","SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC","Stream",NA,"03030002",4.67,"sq mi",NA,NA,35.9832222,-78.9568056,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",266,"feet",0.28,"feet","Global Positioning System.","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"32","USGS-NC","USGS North Carolina Water Science Center","USGS-02097240","THIRD FORK CR TRIB AT UNIVERSITY DR, DURHAM, NC","Stream",NA,"03030002",0.52,"sq mi",NA,NA,35.9795886,-78.9147304,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"33","USGS-NC","USGS North Carolina Water Science Center","USGS-02097243","THIRD FORK CREEK AT DURHAM, NC","Stream",NA,"03030002",1.68,"sq mi",NA,NA,35.9787553,-78.9130637,NA,1,"seconds","Interpolated from MAP.","NAD83",292.78,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"34","USGS-NC","USGS North Carolina Water Science Center","USGS-355849078474601","DR-040","Well",NA,"03020201",NA,NA,NA,NA,35.9804237,-78.7958392,NA,1,"seconds","Interpolated from MAP.","NAD83",371,"feet",1.6,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,70,"ft",NA,NA,"NWIS"
"35","USGS-NC","USGS North Carolina Water Science Center","USGS-355852078572045","RAINGAGE NR W CORNWALLIS RD/WESTERN BYP NR DURHAM","Atmosphere",NA,"03030002",NA,NA,NA,NA,35.9813333,-78.95575,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"36","USGS-NC","USGS North Carolina Water Science Center","USGS-355856078492945","RAINGAGE AT LTL LICK CR AT NC HWY 98 OAK GROVE, NC","Atmosphere",NA,"03020201",NA,NA,NA,NA,35.98230556,-78.8248333,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"37","USGS-NC","USGS North Carolina Water Science Center","USGS-355912078485300","LITTLE LICK PACKAGE PLANT EFFLUENT","Facility: Outfall",NA,"03020201",NA,NA,NA,NA,35.98681214,-78.8144507,24000,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"38","USGS-NC","USGS North Carolina Water Science Center","USGS-355930078570001","DUKE UNIV. GOLD COURSE - 3227","Facility: Water-use establishment",NA,"03030002",NA,NA,NA,NA,35.99180994,-78.9497311,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"39","USGS-NC","USGS North Carolina Water Science Center","USGS-355930078570002","DUKE UNIV. GOLF COURSE - 3227A","Facility: Water-use establishment",NA,"03030002",NA,NA,NA,NA,35.99180994,-78.9497311,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"40","USGS-NC","USGS North Carolina Water Science Center","USGS-355938078490701","DR-042","Well",NA,"03020201",NA,NA,NA,NA,35.9940341,-78.8183397,NA,1,"seconds","Interpolated from MAP.","NAD83",333,"feet",1.6,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,112,"ft",NA,NA,"NWIS"
"41","USGS-NC","USGS North Carolina Water Science Center","USGS-355943078583701","DR-046","Well",NA,"03030002",NA,NA,NA,NA,35.9954205,-78.97667608,NA,1,"seconds","Interpolated from MAP.","NAD83",373,"feet",1.6,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Piedmont and Blue Ridge crystalline-rock aquifers","Felsic Metavolcanic Rock",NA,NA,123,"ft",NA,NA,"NWIS"
"42","USGS-NC","USGS North Carolina Water Science Center","USGS-355945078584501","DURHAM-30 - 3248","Facility: Water-use establishment",NA,"03030002",NA,NA,NA,NA,35.995976,-78.9788983,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"43","USGS-NC","USGS North Carolina Water Science Center","USGS-360016078510701","DR-043","Well",NA,"03020201",NA,NA,NA,NA,36.00458895,-78.8516736,NA,1,"seconds","Interpolated from MAP.","NAD83",373,"feet",1.6,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,125,"ft",NA,NA,"NWIS"
"44","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078481501","DURHAM-26 - 3244","Facility: Water-use establishment",NA,"03020201",NA,NA,NA,NA,36.00847854,-78.8038949,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"45","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078481502","DURHAM-26 - 3244A","Facility: Water-use establishment",NA,"03020201",NA,NA,NA,NA,36.00847854,-78.8038949,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"46","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078493001","DURHAM-16 - 3237","Facility: Water-use establishment",NA,"03020201",NA,NA,NA,NA,36.0084782,-78.8247287,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"47","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078493002","DURHAM-16 - 3237A","Facility: Water-use establishment",NA,"03020201",NA,NA,NA,NA,36.0084782,-78.8247287,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"48","USGS-NC","USGS North Carolina Water Science Center","USGS-360032078572001","DR-045","Well",NA,"03030002",NA,NA,NA,NA,36.00903177,-78.9552868,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,300,"ft",NA,NA,"NWIS"
"49","USGS-NC","USGS North Carolina Water Science Center","USGS-360045078470801","DR-035","Well",NA,"03020201",NA,NA,NA,NA,36.01264546,-78.7852834,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,102,"ft",NA,NA,"NWIS"
"50","USGS-NC","USGS North Carolina Water Science Center","USGS-360141078515500","NE DURHAM STP EFFLUENT","Facility: Outfall",NA,"03020201",NA,NA,NA,NA,36.02819969,-78.86500718,24000,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"51","USGS-NC","USGS North Carolina Water Science Center","USGS-360141078522001","DR-031","Well",NA,"03020201",NA,NA,NA,NA,36.02819958,-78.8719518,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,125,"ft",NA,NA,"NWIS"
"52","USGS-NC","USGS North Carolina Water Science Center","USGS-360143078540945","RAINGAGE AT WEST MURRAY AVENUE AT DURHAM, NC","Atmosphere",NA,"03020201",NA,NA,NA,NA,36.02866667,-78.9025833,NA,1,"seconds","Interpolated from Digital MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"53","USGS-NC","USGS North Carolina Water Science Center","USGS-360149078514801","DR-073 ELLERBE LB-1 0.18 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well",NA,"03020201",NA,NA,NA,NA,36.03027778,-78.8633333,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063","Surficial aquifer system","Quaternary Alluvium","Unconfined single aquifer",20160802,0.5,"ft",0.5,"ft","NWIS"
"54","USGS-NC","USGS North Carolina Water Science Center","USGS-360158078514201","DR-076 ELLERBE RB-4 0.35 MI BL SR1669 NR WEAVER NC","Well",NA,"03020201",NA,NA,NA,NA,36.03277778,-78.8616667,NA,0.01,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",277,"feet",1,"feet","Reported method of determination.","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"55","USGS-NC","USGS North Carolina Water Science Center","USGS-360159078513801","DR-081 (MW-10) NEAR WEAVER, NC (REGOLITH)","Well",NA,"03020201",NA,NA,NA,NA,36.03305556,-78.8605556,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",279.7,"feet",0.01,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Surficial aquifer system","Regolith","Unconfined single aquifer",20080820,14.5,"ft",14.5,"ft","NWIS"
"56","USGS-NC","USGS North Carolina Water Science Center","USGS-360159078514101","DR-074 ELLERBE RB-2 0.40 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well",NA,"03020201",NA,NA,NA,NA,36.03305556,-78.86138889,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063","Surficial aquifer system","Quaternary Alluvium","Unconfined single aquifer",20160802,0.5,"ft",0.5,"ft","NWIS"
"57","USGS-NC","USGS North Carolina Water Science Center","USGS-360202078525401","DR-030 BRAGGTOWN BAPTIST CHURCH","Well",NA,"03020201",NA,NA,NA,NA,36.0340327,-78.88139638,NA,1,"seconds","Interpolated from MAP.","NAD83",356,"feet",1.6,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Early Mesozoic basin aquifers","Triassic Sedimentary Rocks",NA,NA,180,"ft",NA,NA,"NWIS"
"58","USGS-NC","USGS North Carolina Water Science Center","USGS-360204078513901","DR-075 ELLERBE RB-3 0.51 MI3BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well",NA,"03020201",NA,NA,NA,NA,36.03444444,-78.8608333,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",37,"063","Surficial aquifer system","Quaternary Alluvium","Unconfined single aquifer",20160802,0.5,"ft",0.5,"ft","NWIS"
"59","USGS-NC","USGS North Carolina Water Science Center","USGS-360204078513902","DR-079 ELLERBE PZBK 0.51 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well",NA,"03020201",NA,NA,NA,NA,36.03444444,-78.8608333,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",271.2,"feet",0.1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Surficial aquifer system","Quaternary Alluvium","Unconfined single aquifer",20171129,3.4,"ft",3.4,"ft","NWIS"
"60","USGS-NC","USGS North Carolina Water Science Center","USGS-360204078513903","DR-080 ELLERBE PZST 0.51 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well",NA,"03020201",NA,NA,NA,NA,36.03444444,-78.8608333,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",268,"feet",0.1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Surficial aquifer system","Quaternary Alluvium","Unconfined single aquifer",20171129,5.5,"ft",5.5,"ft","NWIS"
"61","USGS-NC","USGS North Carolina Water Science Center","USGS-360205078513801","DR-077 ELLERBE RB-5 0.52 MI BL SR1669 NR WEAVER NC","Well",NA,"03020201",NA,NA,NA,NA,36.0347222,-78.8605556,NA,0.01,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",271,"feet",1,"feet","Reported method of determination.","NAVD88","US",37,"063",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"62","USGS-NC","USGS North Carolina Water Science Center","USGS-360207078512501","DR-082 (MW-2) NEAR WEAVER, NC (REGOLITH)","Well",NA,"03020201",NA,NA,NA,NA,36.03527778,-78.8569444,NA,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",283.8,"feet",0.01,"feet","Interpolated from Digital Elevation Model","NAVD88","US",37,"063","Surficial aquifer system","Regolith","Unconfined single aquifer",19850419,18,"ft",18,"ft","NWIS"
