"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"20","FeatureCollection Feature Point",36.0344806,-78.8607472,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086834","ELLERBE CR 0.51 MILE BELOW SR1669 NEAR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086834/",0,0,"North Carolina","Durham County"
"21","FeatureCollection Feature Point",36.0357222,-78.8604167,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086835","ELLERBE CREEK 0.59 MI BELOW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086835/",1,38,"North Carolina","Durham County"
"22","FeatureCollection Feature Point",36.03725,-78.8596389,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086837","ELLERBE CREEK 0.71 MI BELOW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086837/",2,76,"North Carolina","Durham County"
"23","FeatureCollection Feature Point",36.0396111,-78.8581667,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086839","ELLERBE CREEK 0.89 MI BELOW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086839/",1,38,"North Carolina","Durham County"
"24","FeatureCollection Feature Point",36.0431944,-78.8562778,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086841","ELLERBE CREEK AT WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086841/",1,38,"North Carolina","Durham County"
"25","FeatureCollection Feature Point",36.0446944,-78.8553611,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086843","ELLERBE CREEK 1.28 MI BELOW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086843/",1,38,"North Carolina","Durham County"
"26","FeatureCollection Feature Point",36.04625,-78.8545,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086845","ELLERBE CREEK 1.39 MI BELOW SR 1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086845/",1,38,"North Carolina","Durham County"
"27","FeatureCollection Feature Point",36.0593111,-78.8325065,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02086849","ELLERBE CREEK NEAR GORMAN, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02086849/",141,9417,"North Carolina","Durham County"
"28","FeatureCollection Feature Point",35.9823333,-78.8245,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208700550","LITTLE LICK CREEK AT NC HWY 98 AT OAK GROVE, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208700550/",0,0,"North Carolina","Durham County"
"29","FeatureCollection Feature Point",35.9841667,-78.8197222,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208700712","LITTLE LICK CR AT SR1815 AT OAK GROVE, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208700712/",4,209,"North Carolina","Durham County"
"30","FeatureCollection Feature Point",35.9865346,-78.7991726,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0208700780","LITTLE LICK CR AB SR1814 NR OAK GROVE, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0208700780/",121,5504,"North Carolina","Durham County"
"31","FeatureCollection Feature Point",35.9832222,-78.9568056,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-0209722970","SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC","Stream","Stream","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-0209722970/",48,4171,"North Carolina","Durham County"
"32","FeatureCollection Feature Point",35.9795886,-78.9147304,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02097240","THIRD FORK CR TRIB AT UNIVERSITY DR, DURHAM, NC","Stream","Stream","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02097240/",0,0,"North Carolina","Durham County"
"33","FeatureCollection Feature Point",35.9787553,-78.9130637,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-02097243","THIRD FORK CREEK AT DURHAM, NC","Stream","Stream","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-02097243/",0,0,"North Carolina","Durham County"
"34","FeatureCollection Feature Point",35.9804237,-78.7958392,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355849078474601","DR-040","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355849078474601/",0,0,"North Carolina","Durham County"
"35","FeatureCollection Feature Point",35.9813333,-78.95575,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355852078572045","RAINGAGE NR W CORNWALLIS RD/WESTERN BYP NR DURHAM","Atmosphere","Atmosphere","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355852078572045/",0,0,"North Carolina","Durham County"
"36","FeatureCollection Feature Point",35.9823056,-78.8248333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355856078492945","RAINGAGE AT LTL LICK CR AT NC HWY 98 OAK GROVE, NC","Atmosphere","Atmosphere","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355856078492945/",0,0,"North Carolina","Durham County"
"37","FeatureCollection Feature Point",35.9868121,-78.8144507,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355912078485300","LITTLE LICK PACKAGE PLANT EFFLUENT","Facility: Outfall","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355912078485300/",3,195,"North Carolina","Durham County"
"38","FeatureCollection Feature Point",35.9918099,-78.9497311,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355930078570001","DUKE UNIV. GOLD COURSE - 3227","Facility: Water-use establishment","Facility","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355930078570001/",0,0,"North Carolina","Durham County"
"39","FeatureCollection Feature Point",35.9918099,-78.9497311,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355930078570002","DUKE UNIV. GOLF COURSE - 3227A","Facility: Water-use establishment","Facility","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355930078570002/",0,0,"North Carolina","Durham County"
"40","FeatureCollection Feature Point",35.9940341,-78.8183397,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355938078490701","DR-042","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355938078490701/",0,0,"North Carolina","Durham County"
"41","FeatureCollection Feature Point",35.9954205,-78.9766761,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355943078583701","DR-046","Well","Well","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355943078583701/",0,0,"North Carolina","Durham County"
"42","FeatureCollection Feature Point",35.995976,-78.9788983,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-355945078584501","DURHAM-30 - 3248","Facility: Water-use establishment","Facility","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-355945078584501/",0,0,"North Carolina","Durham County"
"43","FeatureCollection Feature Point",36.0045889,-78.8516736,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360016078510701","DR-043","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360016078510701/",0,0,"North Carolina","Durham County"
"44","FeatureCollection Feature Point",36.0084785,-78.8038949,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078481501","DURHAM-26 - 3244","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360030078481501/",0,0,"North Carolina","Durham County"
"45","FeatureCollection Feature Point",36.0084785,-78.8038949,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078481502","DURHAM-26 - 3244A","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360030078481502/",0,0,"North Carolina","Durham County"
"46","FeatureCollection Feature Point",36.0084782,-78.8247287,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078493001","DURHAM-16 - 3237","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360030078493001/",0,0,"North Carolina","Durham County"
"47","FeatureCollection Feature Point",36.0084782,-78.8247287,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360030078493002","DURHAM-16 - 3237A","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360030078493002/",0,0,"North Carolina","Durham County"
"48","FeatureCollection Feature Point",36.0090318,-78.9552868,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360032078572001","DR-045","Well","Well","03030002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360032078572001/",0,0,"North Carolina","Durham County"
"49","FeatureCollection Feature Point",36.0126455,-78.7852834,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360045078470801","DR-035","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360045078470801/",0,0,"North Carolina","Durham County"
"50","FeatureCollection Feature Point",36.0281997,-78.8650072,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360141078515500","NE DURHAM STP EFFLUENT","Facility: Outfall","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360141078515500/",3,195,"North Carolina","Durham County"
"51","FeatureCollection Feature Point",36.0281996,-78.8719518,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360141078522001","DR-031","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360141078522001/",0,0,"North Carolina","Durham County"
"52","FeatureCollection Feature Point",36.0286667,-78.9025833,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360143078540945","RAINGAGE AT WEST MURRAY AVENUE AT DURHAM, NC","Atmosphere","Atmosphere","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360143078540945/",0,0,"North Carolina","Durham County"
"53","FeatureCollection Feature Point",36.0302778,-78.8633333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360149078514801","DR-073 ELLERBE LB-1 0.18 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360149078514801/",2,52,"North Carolina","Durham County"
"54","FeatureCollection Feature Point",36.0327778,-78.8616667,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360158078514201","DR-076 ELLERBE RB-4 0.35 MI BL SR1669 NR WEAVER NC","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360158078514201/",1,17,"North Carolina","Durham County"
"55","FeatureCollection Feature Point",36.0330556,-78.8605556,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360159078513801","DR-081 (MW-10) NEAR WEAVER, NC (REGOLITH)","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360159078513801/",1,41,"North Carolina","Durham County"
"56","FeatureCollection Feature Point",36.0330556,-78.8613889,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360159078514101","DR-074 ELLERBE RB-2 0.40 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360159078514101/",2,52,"North Carolina","Durham County"
"57","FeatureCollection Feature Point",36.0340327,-78.8813964,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360202078525401","DR-030 BRAGGTOWN BAPTIST CHURCH","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360202078525401/",0,0,"North Carolina","Durham County"
"58","FeatureCollection Feature Point",36.0344444,-78.8608333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360204078513901","DR-075 ELLERBE RB-3 0.51 MI3BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360204078513901/",2,53,"North Carolina","Durham County"
"59","FeatureCollection Feature Point",36.0344444,-78.8608333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360204078513902","DR-079 ELLERBE PZBK 0.51 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360204078513902/",1,22,"North Carolina","Durham County"
"60","FeatureCollection Feature Point",36.0344444,-78.8608333,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360204078513903","DR-080 ELLERBE PZST 0.51 MI BL SR1669 NR WEAVER NC","Well: Hyporheic-zone well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360204078513903/",1,22,"North Carolina","Durham County"
"61","FeatureCollection Feature Point",36.0347222,-78.8605556,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360205078513801","DR-077 ELLERBE RB-5 0.52 MI BL SR1669 NR WEAVER NC","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360205078513801/",1,15,"North Carolina","Durham County"
"62","FeatureCollection Feature Point",36.0352778,-78.8569444,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360207078512501","DR-082 (MW-2) NEAR WEAVER, NC (REGOLITH)","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360207078512501/",1,41,"North Carolina","Durham County"
"63","FeatureCollection Feature Point",36.0352778,-78.8605556,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360207078513801","DR-078 ELLERBE RB-6 0.55 MI BL SR1669 NR WEAVER NC","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360207078513801/",1,15,"North Carolina","Durham County"
"64","FeatureCollection Feature Point",36.0362639,-78.860175,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360211078513701","UT TO ELLERBE CR 0.63 MI BLW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360211078513701/",2,58,"North Carolina","Durham County"
"65","FeatureCollection Feature Point",36.0376452,-78.7913946,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360215078473001","DURHAM-15 - 3236","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360215078473001/",0,0,"North Carolina","Durham County"
"66","FeatureCollection Feature Point",36.0376452,-78.7913946,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360215078473002","DURHAM-14 - 3236A","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360215078473002/",0,0,"North Carolina","Durham County"
"67","FeatureCollection Feature Point",36.0405833,-78.8576667,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360226078512801","UT TO ELLERBE CR 1.04 MI BLW SR1669 NR WEAVER, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360226078512801/",1,20,"North Carolina","Durham County"
"68","FeatureCollection Feature Point",36.0418116,-78.8080616,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360230078483001","DURHAM-29 - 3247","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360230078483001/",0,0,"North Carolina","Durham County"
"69","FeatureCollection Feature Point",36.0418116,-78.8080616,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360230078483002","DURHAM-29 - 3247A","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360230078483002/",0,0,"North Carolina","Durham County"
"70","FeatureCollection Feature Point",36.0418094,-78.949731,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360230078570001","CROASDILA COUNTY CLUB - 3251","Facility: Water-use establishment","Facility","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360230078570001/",0,0,"North Carolina","Durham County"
"71","FeatureCollection Feature Point",36.0437559,-78.816395,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360237078490001","DR-032","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360237078490001/",0,0,"North Carolina","Durham County"
"72","FeatureCollection Feature Point",36.04931,-78.9105636,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360257078543901","DR-029","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360257078543901/",0,0,"North Carolina","Durham County"
"73","FeatureCollection Feature Point",36.050143,-78.9319529,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360300078555601","DR-028","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360300078555601/",0,0,"North Carolina","Durham County"
"74","FeatureCollection Feature Point",36.0525,-78.9838889,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360309078590201","OR-050","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360309078590201/",0,0,"North Carolina","Orange County"
"75","FeatureCollection Feature Point",36.0587537,-78.9513977,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360331078570601","DR-027","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360331078570601/",0,0,"North Carolina","Durham County"
"76","FeatureCollection Feature Point",36.059033,-78.8538958,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360332078511501","DR-021","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360332078511501/",0,0,"North Carolina","Durham County"
"77","FeatureCollection Feature Point",36.0594444,-78.9780556,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360334078584145","RAINGAGE AT ENO RIVER NEAR HUCKLEBERRY SPRING, NC","Atmosphere","Atmosphere","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360334078584145/",0,0,"North Carolina","Durham County"
"78","FeatureCollection Feature Point",36.0601389,-78.91,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360337078543601","DITCH BLACK MEADOW RUN SE ARGONNE DRIVE DURHAM NC","Stream: Ditch","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360337078543601/",1,0,"North Carolina","Durham County"
"79","FeatureCollection Feature Point",36.0606944,-78.9101389,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360338078543601","BLACK MEADOW RUN AT CHATEAU RD AT DURHAM, NC","Stream","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360338078543601/",1,2,"North Carolina","Durham County"
"80","FeatureCollection Feature Point",36.0609755,-78.983065,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360339078590001","OR-409","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360339078590001/",0,0,"North Carolina","Orange County"
"81","FeatureCollection Feature Point",36.0618611,-78.9085,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360343078543101","DITCH TO BLACK MEADOW RUN BEL DAVID ST  DURHAM NC","Stream: Ditch","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360343078543101/",1,0,"North Carolina","Durham County"
"82","FeatureCollection Feature Point",36.0620866,-78.983065,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360343078590001","OR-410","Well","Well","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360343078590001/",0,0,"North Carolina","Orange County"
"83","FeatureCollection Feature Point",36.0626389,-78.9095972,"NWIS","USGS-NC","USGS North Carolina Water Science Center","USGS-360346078543501","DITCH TO BLACK MEADOW RUN NE CHATEAU RD DURHAM NC","Stream: Ditch","Stream","03020201","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NC/USGS-360346078543501/",9,22,"North Carolina","Durham County"
